"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1600","remove 4 item from 4 cart success","webkit","Tue May 05 03:52:33 UTC 2026","passed","Tue May 05 03:52:35 UTC 2026","","cart.spec.ts","",""
"","453","has title","chromium","Tue May 05 03:52:07 UTC 2026","passed","Tue May 05 03:52:08 UTC 2026","","example.spec.ts","",""
"","563","Login fail and data incorrect","mobile-android","Tue May 05 03:53:12 UTC 2026","passed","Tue May 05 03:53:12 UTC 2026","","login.spec.ts","",""
"","355","should fetch product list successfully","webkit","Tue May 05 03:52:28 UTC 2026","passed","Tue May 05 03:52:29 UTC 2026","API Testing","api-tests.spec.ts","",""
"","992","Login fail and data incorrect","mobile-safari","Tue May 05 03:53:02 UTC 2026","passed","Tue May 05 03:53:03 UTC 2026","","login.spec.ts","",""
"","1229","add item once success","webkit","Tue May 05 03:52:40 UTC 2026","passed","Tue May 05 03:52:41 UTC 2026","","inventory.spec.ts","",""
"","538","add multiple items success","mobile-android","Tue May 05 03:53:09 UTC 2026","passed","Tue May 05 03:53:10 UTC 2026","","inventory.spec.ts","",""
"","1048","add multiple items and remove all items success","firefox","Tue May 05 03:52:23 UTC 2026","passed","Tue May 05 03:52:24 UTC 2026","","inventory.spec.ts","",""
"","1083","add item and remove success","mobile-safari","Tue May 05 03:52:58 UTC 2026","passed","Tue May 05 03:52:59 UTC 2026","","inventory.spec.ts","",""
"","427","Should return 404","webkit","Tue May 05 03:52:29 UTC 2026","passed","Tue May 05 03:52:29 UTC 2026","API Testing","api-tests.spec.ts","",""
"","525","add multiple items and remove all items success","chromium","Tue May 05 03:52:10 UTC 2026","passed","Tue May 05 03:52:11 UTC 2026","","inventory.spec.ts","",""
"","792","check out success","mobile-android","Tue May 05 03:53:07 UTC 2026","passed","Tue May 05 03:53:07 UTC 2026","","checkout.spec.ts","",""
"","507","Login fail and data incorrect","chromium","Tue May 05 03:52:11 UTC 2026","passed","Tue May 05 03:52:12 UTC 2026","","login.spec.ts","",""
"","1180","add multiple items and remove all items success","webkit","Tue May 05 03:52:43 UTC 2026","passed","Tue May 05 03:52:44 UTC 2026","","inventory.spec.ts","",""
"","1477","authenticate","setup","Tue May 05 03:52:01 UTC 2026","passed","Tue May 05 03:52:02 UTC 2026","","auth.setup.ts","",""
"","954","add item and remove success","firefox","Tue May 05 03:52:22 UTC 2026","passed","Tue May 05 03:52:23 UTC 2026","","inventory.spec.ts","",""
